ID,分类,名称,英文名称,Sku,库存,重量,市场价,商城价,简述,介绍,内容,缩略图,图片,关键字,描述,类型,品牌,产地,发货地,缩略图集,图片集,扩展分类
,"心脑血管","LUSH岚舒 英国正品小红帽再新洗发皂55g手工皂舒缓脱发状况洗头皂","LUSH STIMULATING AND REFRESHING SHAMPOOBAR RED 55 G","LUSH-SHAMPOOBAR-RED-55","100","200","130","95","深层清洁 调整油脂分泌 滋补头皮 促进血液循环","<ul><li>产品名称：LUSH 再新洗发皂 New</li> <li>产地:&nbsp;&#33521;&#22269;</li> <li>品牌:&nbsp;LUSH</li> <li>美发护发单品:&nbsp;&#20877;&#26032;&#27927;&#21457;&#30338; New</li> <li>适用发质:&nbsp;&#27833;&#24615;</li> <li>功效:&nbsp;&#38450;&#33073;&#29983;&#21457;&nbsp;&#28145;&#23618;&#28165;&#27905;&nbsp;&#38450;&#33073;&nbsp;&#32946;&#21457;</li> <li>规格类型:&nbsp;&#27491;&#24120;&#35268;&#26684;</li> <li>化妆品净含量:&nbsp;55g</li> <li>化妆品特性:&nbsp;&#20351;&#29992;&#25928;&#26524;&nbsp;&#28165;&#29245;&#24230;&nbsp;&#26080;&#27531;&#30041;&nbsp;&#28201;&#21644;&#24230;&nbsp;&#27927;&#21457;&#27700;</li> </ul>","<img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-1.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-2.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-3.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-4.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-5.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-6.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-M-1.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-M-2.jpg""></img>","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-S-1.jpg","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-L-1.jpg","{keywords}","{seodesc}","17","Lush Brand","英国","英国","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-S-1.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-S-2.jpg|","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-L-1.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-SHAMPOOBAR-RED-55-L-2.jpg|","女性关爱|老年关爱|男性关爱|男性关爱|基础营养|心脑血管|心脑血管|视力保护|内分泌调理"
,"内分泌调理","LUSH岚舒 英国正品丰盈洗发露 控油丰盈蓬松洗发水洗发露 330g","LUSH MASK OF MAGNAMINTY","LUSH-MASKMAGNAMINTY-315","100","500","109","79","质感丰厚 丰富海盐 海藻及椰子油 发丝丰盈飘逸","<ul><li>产品名称：LUSH 丰盈洗发露 Big</li> <li>产地:&nbsp;&#33521;&#22269;</li> <li>品牌:&nbsp;LUSH</li> <li>美发护发单品:&nbsp;&#20016;&#30408;&#27927;&#21457;&#38706; Big</li> <li>适用发质:&nbsp;&#20013;&#24615;</li> <li>功效:&nbsp;&#20016;&#30408;&#34028;&#26494;&nbsp;&#24378;&#38887;&#38450;&#26029;&#21457;&nbsp;&#22836;&#30382;&#25511;&#27833;</li> <li>规格类型:&nbsp;&#27491;&#24120;&#35268;&#26684;</li> <li>化妆品净含量:&nbsp;330g</li> <li>化妆品特性:&nbsp;&#28165;&#29245;&#24230;&nbsp;&#26080;&#27531;&#30041;&nbsp;&#28201;&#21644;&#24230;&nbsp;&#27927;&#21457;&#27700;</li> </ul>","<img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-1.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-2.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-3.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-4.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-5.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-6.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-7.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-M-1.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-M-2.jpg""></img><img src=""http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-M-3.jpg""></img>","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-S-1.jpg","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-L-1.jpg","{keywords}","{seodesc}","17","Lush Brand","英国","英国","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-S-1.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-S-2.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-S-3.jpg|","http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-L-1.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-L-2.jpg|http://7xiosd.com1.z0.glb.clouddn.com/LUSH-MASKMAGNAMINTY-315-L-3.jpg|","女性关爱|老年关爱|男性关爱|男性关爱|内分泌调理"
